	
AGE vs Completion Percentage Statistics:	
Value Range	Count	Avg Completion	Min	Max	Q1	Median	Q3
-120.0--115.0	1	72.0%	72%	72%	72%	72%	72%
-115.0--110.0	2	60.0%	48%	72%	48%	72%	72%
-100.0--95.0	3	71.3%	71%	72%	71%	71%	72%
-85.0--80.0	1	76.0%	76%	76%	76%	76%	76%
-70.0--65.0	1	72.0%	72%	72%	72%	72%	72%
-65.0--60.0	1	53.0%	53%	53%	53%	53%	53%
-60.0--55.0	1	69.0%	69%	69%	69%	69%	69%
-55.0--50.0	1	41.0%	41%	41%	41%	41%	41%
-50.0--45.0	1	71.0%	71%	71%	71%	71%	71%
-40.0--35.0	1	52.0%	52%	52%	52%	52%	52%
-30.0--25.0	2	71.5%	71%	72%	71%	72%	72%
-25.0--20.0	1	74.0%	74%	74%	74%	74%	74%
-20.0--15.0	6	61.0%	45%	76%	48%	64%	71%
-15.0--10.0	3	64.3%	60%	71%	60%	62%	71%
-10.0--5.0	1	50.0%	50%	50%	50%	50%	50%
-5.0-0.0	8	66.1%	22%	90%	67%	72%	88%
0.0-5.0	2709	60.7%	14%	100%	52%	66%	71%
5.0-10.0	357	60.0%	14%	93%	50%	66%	71%
10.0-15.0	440	61.2%	14%	97%	52%	66%	71%
15.0-20.0	469	59.5%	14%	95%	48%	66%	71%
20.0-25.0	308	58.6%	14%	91%	50%	64%	71%
25.0-30.0	185	60.9%	14%	93%	53%	67%	71%
30.0-35.0	172	60.1%	14%	93%	48%	67%	71%
35.0-40.0	118	60.6%	14%	88%	53%	64%	71%
40.0-45.0	126	61.0%	16%	93%	53%	66%	71%
45.0-50.0	164	61.3%	14%	91%	52%	67%	71%
50.0-55.0	414	61.2%	14%	97%	52%	66%	71%
55.0-60.0	259	60.5%	14%	93%	53%	66%	71%
60.0-65.0	193	61.3%	14%	95%	53%	64%	71%
65.0-70.0	171	60.6%	14%	97%	52%	66%	71%
70.0-75.0	171	59.6%	14%	95%	50%	64%	71%
75.0-80.0	124	60.7%	14%	90%	55%	66%	71%
80.0-85.0	130	58.7%	14%	88%	48%	62%	69%
85.0-90.0	132	54.6%	14%	84%	41%	60%	69%
90.0-95.0	115	59.5%	17%	91%	52%	64%	71%
95.0-100.0	134	60.1%	16%	88%	53%	66%	71%
100.0-105.0	769	59.5%	14%	97%	50%	64%	71%
105.0-110.0	192	57.1%	14%	91%	45%	62%	71%
110.0-115.0	495	58.8%	14%	93%	50%	62%	71%
115.0-120.0	245	59.3%	16%	91%	50%	62%	71%
120.0-125.0	1855	59.2%	14%	97%	48%	64%	71%
125.0-130.0	1271	60.8%	14%	100%	53%	64%	71%
130.0-135.0	2937	61.3%	14%	100%	55%	64%	71%
135.0-140.0	3282	62.8%	14%	100%	57%	66%	71%
140.0-145.0	6340	63.5%	14%	100%	57%	66%	71%
145.0-150.0	7972	64.7%	14%	100%	59%	67%	72%
150.0-155.0	24135	63.9%	14%	100%	57%	67%	71%
155.0-160.0	36580	62.5%	14%	100%	55%	66%	71%
160.0-165.0	79103	60.1%	14%	100%	52%	64%	69%
165.0-170.0	115698	58.8%	14%	100%	50%	62%	69%
170.0-175.0	128007	57.4%	14%	100%	48%	62%	69%
175.0-180.0	118604	57.1%	14%	100%	48%	60%	69%
180.0-185.0	97936	56.1%	14%	100%	47%	60%	67%
185.0-190.0	61767	55.8%	14%	98%	47%	60%	67%
190.0-195.0	21570	55.5%	14%	100%	47%	60%	67%
195.0-200.0	7664	56.8%	14%	98%	48%	62%	69%
200.0-205.0	1671	58.5%	14%	100%	50%	64%	71%
205.0-210.0	261	58.4%	14%	91%	52%	64%	69%
210.0-215.0	227	59.2%	14%	95%	48%	66%	71%
215.0-220.0	88	60.3%	16%	98%	53%	64%	71%
220.0-225.0	208	61.2%	14%	88%	55%	66%	71%
225.0-230.0	49	57.9%	14%	90%	50%	66%	71%
230.0-235.0	114	62.5%	22%	93%	55%	67%	71%
235.0-240.0	43	60.7%	21%	91%	55%	67%	71%
240.0-245.0	32	59.8%	14%	84%	53%	67%	71%
245.0-250.0	45	64.0%	38%	100%	55%	67%	72%
250.0-255.0	245	61.8%	14%	95%	55%	67%	71%
255.0-260.0	105	63.5%	21%	98%	60%	69%	71%
260.0-265.0	16	61.5%	29%	71%	60%	66%	69%
265.0-270.0	29	63.1%	26%	88%	59%	69%	71%
270.0-275.0	27	66.0%	14%	93%	64%	69%	71%
275.0-280.0	23	58.1%	14%	83%	52%	62%	71%
280.0-285.0	45	63.2%	16%	88%	55%	69%	71%
285.0-290.0	33	60.1%	14%	91%	50%	67%	71%
290.0-295.0	20	64.7%	26%	86%	60%	67%	71%
295.0-300.0	30	61.2%	21%	78%	50%	69%	71%
300.0-305.0	211	61.3%	17%	90%	53%	67%	71%
305.0-310.0	16	62.8%	41%	76%	57%	69%	71%
310.0-315.0	23	65.3%	24%	100%	59%	67%	74%
315.0-320.0	8	55.4%	33%	71%	47%	60%	67%
320.0-325.0	52	62.4%	14%	86%	52%	67%	72%
325.0-330.0	17	61.2%	29%	84%	59%	67%	69%
330.0-335.0	39	63.1%	34%	81%	52%	66%	71%
335.0-340.0	4	62.8%	36%	74%	67%	74%	74%
340.0-345.0	11	57.3%	16%	78%	40%	69%	72%
345.0-350.0	11	62.2%	33%	83%	48%	66%	78%
350.0-355.0	49	63.9%	22%	84%	64%	69%	71%
355.0-360.0	26	63.5%	16%	88%	62%	71%	72%
360.0-365.0	12	67.8%	45%	88%	62%	67%	79%
365.0-370.0	13	61.9%	33%	74%	57%	66%	71%
370.0-375.0	5	49.2%	36%	67%	43%	50%	50%
375.0-380.0	2	66.5%	62%	71%	62%	71%	71%
380.0-385.0	16	63.2%	17%	88%	60%	66%	72%
385.0-390.0	6	67.0%	50%	90%	57%	71%	74%
390.0-395.0	11	59.2%	34%	79%	48%	60%	71%
395.0-400.0	11	68.5%	52%	88%	60%	71%	74%
400.0-405.0	28	63.3%	29%	91%	50%	69%	74%
405.0-410.0	3	65.7%	59%	71%	59%	67%	71%
410.0-415.0	4	62.2%	41%	79%	60%	69%	79%
415.0-420.0	4	66.2%	52%	76%	66%	71%	76%
420.0-425.0	5	74.0%	71%	83%	71%	71%	74%
425.0-430.0	7	60.9%	33%	72%	55%	66%	69%
430.0-435.0	4	65.2%	59%	71%	64%	67%	71%
435.0-440.0	3	67.3%	52%	79%	52%	71%	79%
440.0-445.0	11	64.0%	19%	78%	59%	69%	72%
445.0-450.0	1	72.0%	72%	72%	72%	72%	72%
450.0-455.0	25	62.6%	19%	88%	52%	67%	71%
455.0-460.0	27	61.2%	14%	79%	59%	67%	69%
460.0-465.0	4	71.5%	69%	74%	71%	72%	74%
465.0-470.0	4	68.8%	66%	71%	69%	69%	71%
470.0-475.0	2	31.5%	16%	47%	16%	47%	47%
475.0-480.0	3	29.7%	17%	53%	17%	19%	53%
480.0-485.0	6	58.0%	38%	91%	45%	62%	64%
485.0-490.0	6	43.8%	14%	71%	21%	62%	71%
490.0-495.0	3	57.7%	21%	86%	21%	66%	86%
495.0-500.0	2	59.0%	52%	66%	52%	66%	66%
500.0-505.0	99	61.0%	14%	91%	53%	67%	71%
505.0-510.0	3	61.0%	43%	76%	43%	64%	76%
510.0-515.0	9	63.7%	41%	71%	66%	67%	69%
515.0-520.0	1	84.0%	84%	84%	84%	84%	84%
520.0-525.0	10	69.8%	53%	90%	64%	67%	76%
525.0-530.0	3	64.3%	53%	71%	53%	69%	71%
530.0-535.0	4	67.8%	60%	83%	64%	64%	83%
540.0-545.0	6	59.7%	14%	74%	59%	71%	71%
545.0-550.0	11	65.5%	33%	93%	53%	69%	74%
550.0-555.0	8	57.1%	26%	81%	41%	71%	72%
555.0-560.0	32	62.4%	14%	98%	60%	69%	71%
560.0-565.0	6	63.2%	45%	86%	48%	67%	76%
565.0-570.0	10	67.5%	41%	84%	66%	69%	76%
570.0-575.0	1	60.0%	60%	60%	60%	60%	60%
575.0-580.0	1	67.0%	67%	67%	67%	67%	67%
580.0-585.0	7	62.9%	48%	71%	48%	69%	71%
585.0-590.0	8	59.8%	31%	93%	50%	66%	76%
590.0-595.0	4	48.2%	22%	67%	38%	66%	67%
595.0-600.0	4	66.2%	59%	76%	59%	71%	76%
600.0-605.0	25	60.5%	33%	93%	53%	60%	71%
605.0-610.0	2	39.0%	26%	52%	26%	52%	52%
610.0-615.0	2	59.5%	55%	64%	55%	64%	64%
620.0-625.0	4	52.5%	31%	79%	36%	64%	79%
625.0-630.0	1	29.0%	29%	29%	29%	29%	29%
630.0-635.0	6	58.3%	14%	78%	60%	67%	69%
635.0-640.0	3	65.3%	55%	72%	55%	69%	72%
640.0-645.0	2	65.5%	60%	71%	60%	71%	71%
645.0-650.0	2	71.5%	71%	72%	71%	72%	72%
650.0-655.0	13	66.8%	40%	81%	62%	69%	78%
655.0-660.0	6	71.8%	52%	90%	59%	76%	83%
660.0-665.0	1	57.0%	57%	57%	57%	57%	57%
665.0-670.0	64	60.3%	19%	84%	59%	67%	71%
670.0-675.0	3	57.7%	43%	71%	43%	59%	71%
675.0-680.0	4	69.0%	59%	83%	60%	74%	83%
680.0-685.0	7	61.1%	52%	71%	52%	62%	71%
685.0-690.0	4	72.5%	71%	74%	71%	74%	74%
690.0-695.0	3	72.7%	69%	78%	69%	71%	78%
695.0-700.0	3	68.7%	53%	81%	53%	72%	81%
700.0-705.0	8	56.2%	26%	72%	45%	64%	69%
710.0-715.0	1	71.0%	71%	71%	71%	71%	71%
720.0-725.0	1	21.0%	21%	21%	21%	21%	21%
725.0-730.0	1	69.0%	69%	69%	69%	69%	69%
740.0-745.0	2	61.0%	55%	67%	55%	67%	67%
750.0-755.0	4	59.5%	43%	71%	53%	71%	71%
755.0-760.0	1	48.0%	48%	48%	48%	48%	48%
760.0-765.0	3	55.7%	14%	84%	14%	69%	84%
765.0-770.0	4	59.2%	34%	71%	66%	66%	71%
775.0-780.0	8	57.2%	28%	78%	50%	67%	71%
780.0-785.0	2	69.0%	67%	71%	67%	71%	71%
785.0-790.0	9	58.3%	40%	72%	43%	62%	67%
800.0-805.0	20	60.7%	26%	88%	48%	67%	71%
810.0-815.0	2	70.0%	69%	71%	69%	71%	71%
815.0-820.0	1	72.0%	72%	72%	72%	72%	72%
820.0-825.0	4	66.8%	53%	76%	64%	74%	76%
825.0-830.0	1	84.0%	84%	84%	84%	84%	84%
830.0-835.0	2	68.0%	67%	69%	67%	69%	69%
840.0-845.0	3	59.0%	40%	71%	40%	66%	71%
845.0-850.0	1	71.0%	71%	71%	71%	71%	71%
850.0-855.0	13	54.9%	16%	74%	47%	59%	71%
855.0-860.0	4	57.2%	24%	74%	62%	69%	74%
860.0-865.0	2	45.5%	19%	72%	19%	72%	72%
865.0-870.0	3	60.7%	41%	74%	41%	67%	74%
870.0-875.0	1	66.0%	66%	66%	66%	66%	66%
875.0-880.0	3	75.3%	71%	79%	71%	76%	79%
880.0-885.0	2	73.5%	69%	78%	69%	78%	78%
885.0-890.0	25	59.1%	24%	88%	40%	64%	69%
890.0-895.0	6	53.2%	26%	72%	43%	57%	69%
895.0-900.0	4	66.5%	57%	74%	64%	71%	74%
900.0-905.0	31	62.2%	14%	88%	60%	66%	71%
910.0-915.0	1	81.0%	81%	81%	81%	81%	81%
915.0-920.0	2	72.5%	55%	90%	55%	90%	90%
920.0-925.0	2	71.5%	71%	72%	71%	72%	72%
925.0-930.0	1	52.0%	52%	52%	52%	52%	52%
930.0-935.0	3	62.3%	36%	84%	36%	67%	84%
940.0-945.0	1	64.0%	64%	64%	64%	64%	64%
945.0-950.0	1	45.0%	45%	45%	45%	45%	45%
950.0-955.0	7	62.4%	45%	71%	48%	69%	69%
955.0-960.0	2	68.0%	64%	72%	64%	72%	72%
960.0-965.0	2	63.5%	48%	79%	48%	79%	79%
970.0-975.0	1	71.0%	71%	71%	71%	71%	71%
975.0-980.0	2	62.5%	59%	66%	59%	66%	66%
980.0-985.0	5	52.6%	34%	71%	34%	60%	64%
985.0-990.0	15	58.8%	14%	76%	57%	60%	66%
990.0-995.0	1	28.0%	28%	28%	28%	28%	28%
995.0-1000.0	239	61.2%	14%	100%	53%	67%	71%
1000.0-1005.0	84	62.9%	14%	97%	53%	69%	74%
1005.0-1010.0	9	56.2%	19%	84%	36%	62%	72%
1010.0-1015.0	3	46.0%	14%	71%	14%	53%	71%
1015.0-1020.0	1	31.0%	31%	31%	31%	31%	31%
1020.0-1025.0	3	72.0%	71%	74%	71%	71%	74%
1025.0-1030.0	4	62.8%	50%	71%	64%	66%	71%
1030.0-1035.0	1	64.0%	64%	64%	64%	64%	64%
1035.0-1040.0	1	72.0%	72%	72%	72%	72%	72%
1040.0-1045.0	1	72.0%	72%	72%	72%	72%	72%
1045.0-1050.0	2	63.0%	40%	86%	40%	86%	86%
1050.0-1055.0	4	51.8%	24%	76%	36%	71%	76%
1055.0-1060.0	5	51.8%	36%	78%	38%	48%	59%
1070.0-1075.0	1	50.0%	50%	50%	50%	50%	50%
1075.0-1080.0	1	69.0%	69%	69%	69%	69%	69%
1085.0-1090.0	1	69.0%	69%	69%	69%	69%	69%
1100.0-1105.0	3	63.3%	21%	95%	21%	74%	95%
1110.0-1115.0	9	58.4%	14%	72%	53%	71%	71%
1115.0-1120.0	2	29.5%	14%	45%	14%	45%	45%
1120.0-1125.0	3	63.7%	41%	79%	41%	71%	79%
1125.0-1130.0	2	49.5%	28%	71%	28%	71%	71%
1135.0-1140.0	2	71.0%	71%	71%	71%	71%	71%
1140.0-1145.0	2	54.5%	40%	69%	40%	69%	69%
1145.0-1150.0	5	65.4%	57%	72%	62%	67%	69%
1150.0-1155.0	6	75.7%	69%	84%	71%	76%	83%
1155.0-1160.0	6	53.0%	34%	74%	45%	53%	67%
1160.0-1165.0	5	48.0%	26%	88%	31%	36%	59%
1165.0-1170.0	5	69.2%	59%	83%	66%	67%	71%
1170.0-1175.0	11	58.7%	47%	90%	53%	55%	60%
1175.0-1180.0	10	62.5%	36%	72%	62%	71%	72%
1180.0-1185.0	6	61.8%	38%	71%	60%	69%	71%
1195.0-1200.0	1	71.0%	71%	71%	71%	71%	71%
1200.0-1205.0	5	65.8%	48%	83%	57%	69%	72%
1210.0-1215.0	1	78.0%	78%	78%	78%	78%	78%
1220.0-1225.0	3	68.3%	60%	76%	60%	69%	76%
1225.0-1230.0	1	71.0%	71%	71%	71%	71%	71%
1230.0-1235.0	13	70.9%	60%	83%	69%	71%	71%
1235.0-1240.0	4	67.2%	48%	81%	69%	71%	81%
1240.0-1245.0	2	72.5%	71%	74%	71%	74%	74%
1245.0-1250.0	2	71.5%	71%	72%	71%	72%	72%
1250.0-1255.0	4	59.2%	36%	71%	64%	66%	71%
1255.0-1260.0	2	68.0%	62%	74%	62%	74%	74%
1280.0-1285.0	1	50.0%	50%	50%	50%	50%	50%
1285.0-1290.0	1	71.0%	71%	71%	71%	71%	71%
1300.0-1305.0	3	56.3%	36%	71%	36%	62%	71%
1320.0-1325.0	1	67.0%	67%	67%	67%	67%	67%
1330.0-1335.0	1	66.0%	66%	66%	66%	66%	66%
1335.0-1340.0	2	40.5%	36%	45%	36%	45%	45%
1340.0-1345.0	1	55.0%	55%	55%	55%	55%	55%
1350.0-1355.0	1	66.0%	66%	66%	66%	66%	66%
1385.0-1390.0	1	59.0%	59%	59%	59%	59%	59%
1400.0-1405.0	6	63.2%	43%	79%	45%	71%	79%
1415.0-1420.0	1	74.0%	74%	74%	74%	74%	74%
1420.0-1425.0	1	83.0%	83%	83%	83%	83%	83%
1425.0-1430.0	1	71.0%	71%	71%	71%	71%	71%
1450.0-1455.0	6	69.8%	36%	88%	64%	72%	88%
1455.0-1460.0	3	64.3%	57%	79%	57%	57%	79%
1465.0-1470.0	1	66.0%	66%	66%	66%	66%	66%
1470.0-1475.0	1	71.0%	71%	71%	71%	71%	71%
1475.0-1480.0	1	57.0%	57%	57%	57%	57%	57%
1490.0-1495.0	1	79.0%	79%	79%	79%	79%	79%
1495.0-1500.0	1	78.0%	78%	78%	78%	78%	78%
1500.0-1505.0	21	61.4%	36%	88%	55%	62%	69%
1505.0-1510.0	3	61.7%	48%	71%	48%	66%	71%
1510.0-1515.0	1	14.0%	14%	14%	14%	14%	14%
1515.0-1520.0	1	72.0%	72%	72%	72%	72%	72%
1520.0-1525.0	1	59.0%	59%	59%	59%	59%	59%
1525.0-1530.0	1	45.0%	45%	45%	45%	45%	45%
1530.0-1535.0	2	39.5%	34%	45%	34%	45%	45%
1535.0-1540.0	1	62.0%	62%	62%	62%	62%	62%
1540.0-1545.0	1	72.0%	72%	72%	72%	72%	72%
1550.0-1555.0	3	53.0%	36%	66%	36%	57%	66%
1555.0-1560.0	8	51.8%	19%	71%	48%	57%	69%
1560.0-1565.0	2	54.5%	38%	71%	38%	71%	71%
1565.0-1570.0	4	59.0%	22%	72%	71%	71%	72%
1570.0-1575.0	1	40.0%	40%	40%	40%	40%	40%
1575.0-1580.0	1	71.0%	71%	71%	71%	71%	71%
1580.0-1585.0	3	72.3%	55%	93%	55%	69%	93%
1585.0-1590.0	6	70.5%	38%	88%	67%	71%	88%
1590.0-1595.0	1	91.0%	91%	91%	91%	91%	91%
1600.0-1605.0	7	60.3%	38%	72%	57%	60%	69%
1605.0-1610.0	2	73.5%	71%	76%	71%	76%	76%
1630.0-1635.0	1	71.0%	71%	71%	71%	71%	71%
1645.0-1650.0	1	66.0%	66%	66%	66%	66%	66%
1650.0-1655.0	1	76.0%	76%	76%	76%	76%	76%
1655.0-1660.0	2	76.0%	64%	88%	64%	88%	88%
1660.0-1665.0	2	56.0%	43%	69%	43%	69%	69%
1665.0-1670.0	3	72.7%	69%	78%	69%	71%	78%
1670.0-1675.0	1	71.0%	71%	71%	71%	71%	71%
1675.0-1680.0	2	71.5%	71%	72%	71%	72%	72%
1680.0-1685.0	1	71.0%	71%	71%	71%	71%	71%
1685.0-1690.0	3	72.3%	67%	79%	67%	71%	79%
1690.0-1695.0	1	50.0%	50%	50%	50%	50%	50%
1695.0-1700.0	1	72.0%	72%	72%	72%	72%	72%
1700.0-1705.0	11	65.7%	36%	88%	57%	71%	76%
1705.0-1710.0	1	53.0%	53%	53%	53%	53%	53%
1710.0-1715.0	2	70.0%	69%	71%	69%	71%	71%
1720.0-1725.0	4	60.5%	40%	86%	45%	71%	86%
1740.0-1745.0	1	74.0%	74%	74%	74%	74%	74%
1745.0-1750.0	1	17.0%	17%	17%	17%	17%	17%
1750.0-1755.0	7	58.7%	36%	74%	48%	64%	72%
1755.0-1760.0	4	49.5%	36%	59%	50%	53%	59%
1760.0-1765.0	3	63.7%	53%	69%	53%	69%	69%
1770.0-1775.0	1	64.0%	64%	64%	64%	64%	64%
1775.0-1780.0	2	47.0%	28%	66%	28%	66%	66%
1780.0-1785.0	7	51.1%	24%	78%	36%	53%	60%
1785.0-1790.0	3	45.7%	28%	59%	28%	50%	59%
1800.0-1805.0	20	67.0%	36%	86%	60%	71%	72%
1805.0-1810.0	1	67.0%	67%	67%	67%	67%	67%
1810.0-1815.0	1	67.0%	67%	67%	67%	67%	67%
1820.0-1825.0	6	42.0%	14%	69%	36%	45%	50%
1830.0-1835.0	1	60.0%	60%	60%	60%	60%	60%
1835.0-1840.0	2	62.0%	60%	64%	60%	64%	64%
1850.0-1855.0	2	39.5%	36%	43%	36%	43%	43%
1855.0-1860.0	1	66.0%	66%	66%	66%	66%	66%
1860.0-1865.0	1	69.0%	69%	69%	69%	69%	69%
1870.0-1875.0	1	57.0%	57%	57%	57%	57%	57%
1875.0-1880.0	3	72.7%	64%	83%	64%	71%	83%
1880.0-1885.0	2	57.0%	43%	71%	43%	71%	71%
1885.0-1890.0	3	61.3%	38%	74%	38%	72%	74%
1890.0-1895.0	2	66.5%	62%	71%	62%	71%	71%
1900.0-1905.0	6	53.0%	29%	71%	47%	60%	64%
1910.0-1915.0	1	69.0%	69%	69%	69%	69%	69%
1920.0-1925.0	1	59.0%	59%	59%	59%	59%	59%
1950.0-1955.0	2	59.5%	48%	71%	48%	71%	71%
1955.0-1960.0	3	50.7%	36%	69%	36%	47%	69%
1975.0-1980.0	3	50.0%	16%	74%	16%	60%	74%
1980.0-1985.0	2	58.5%	36%	81%	36%	81%	81%
1990.0-1995.0	4	54.2%	38%	72%	47%	60%	72%
1995.0-2000.0	12	53.8%	33%	78%	36%	64%	71%
2000.0-2005.0	43	62.6%	14%	90%	57%	67%	74%
2005.0-2010.0	1	53.0%	53%	53%	53%	53%	53%
2010.0-2015.0	6	43.3%	34%	71%	36%	40%	41%
2015.0-2020.0	1	71.0%	71%	71%	71%	71%	71%
2020.0-2025.0	1	69.0%	69%	69%	69%	69%	69%
2035.0-2040.0	1	66.0%	66%	66%	66%	66%	66%
2050.0-2055.0	2	54.5%	45%	64%	45%	64%	64%
2100.0-2105.0	1	50.0%	50%	50%	50%	50%	50%
2120.0-2125.0	1	71.0%	71%	71%	71%	71%	71%
2150.0-2155.0	1	76.0%	76%	76%	76%	76%	76%
2165.0-2170.0	1	76.0%	76%	76%	76%	76%	76%
2200.0-2205.0	2	63.0%	55%	71%	55%	71%	71%
2210.0-2215.0	1	76.0%	76%	76%	76%	76%	76%
2220.0-2225.0	1	29.0%	29%	29%	29%	29%	29%
2225.0-2230.0	1	43.0%	43%	43%	43%	43%	43%
2230.0-2235.0	1	59.0%	59%	59%	59%	59%	59%
2250.0-2255.0	1	31.0%	31%	31%	31%	31%	31%
2340.0-2345.0	1	71.0%	71%	71%	71%	71%	71%
2360.0-2365.0	1	76.0%	76%	76%	76%	76%	76%
2365.0-2370.0	1	71.0%	71%	71%	71%	71%	71%
2400.0-2405.0	1	69.0%	69%	69%	69%	69%	69%
2450.0-2455.0	1	76.0%	76%	76%	76%	76%	76%
2455.0-2460.0	1	55.0%	55%	55%	55%	55%	55%
2500.0-2505.0	9	68.6%	47%	83%	66%	71%	72%
2505.0-2510.0	1	71.0%	71%	71%	71%	71%	71%
2520.0-2525.0	2	46.5%	45%	48%	45%	48%	48%
2535.0-2540.0	2	47.5%	38%	57%	38%	57%	57%
2540.0-2545.0	1	71.0%	71%	71%	71%	71%	71%
2560.0-2565.0	2	55.0%	36%	74%	36%	74%	74%
2565.0-2570.0	1	72.0%	72%	72%	72%	72%	72%
2585.0-2590.0	1	62.0%	62%	62%	62%	62%	62%
2655.0-2660.0	1	48.0%	48%	48%	48%	48%	48%
2700.0-2705.0	1	79.0%	79%	79%	79%	79%	79%
2805.0-2810.0	1	62.0%	62%	62%	62%	62%	62%
2830.0-2835.0	1	67.0%	67%	67%	67%	67%	67%
2880.0-2885.0	1	86.0%	86%	86%	86%	86%	86%
2890.0-2895.0	1	66.0%	66%	66%	66%	66%	66%
3000.0-3005.0	20	61.5%	28%	74%	59%	64%	71%
3040.0-3045.0	1	66.0%	66%	66%	66%	66%	66%
3125.0-3130.0	1	36.0%	36%	36%	36%	36%	36%
3165.0-3170.0	1	57.0%	57%	57%	57%	57%	57%
3185.0-3190.0	1	69.0%	69%	69%	69%	69%	69%
3240.0-3245.0	2	59.0%	47%	71%	47%	71%	71%
3320.0-3325.0	1	71.0%	71%	71%	71%	71%	71%
3330.0-3335.0	3	56.7%	34%	83%	34%	53%	83%
3450.0-3455.0	1	72.0%	72%	72%	72%	72%	72%
3500.0-3505.0	2	81.5%	79%	84%	79%	84%	84%
3580.0-3585.0	1	72.0%	72%	72%	72%	72%	72%
3655.0-3660.0	1	72.0%	72%	72%	72%	72%	72%
3660.0-3665.0	1	50.0%	50%	50%	50%	50%	50%
3985.0-3990.0	1	71.0%	71%	71%	71%	71%	71%
3995.0-4000.0	1	36.0%	36%	36%	36%	36%	36%
4000.0-4005.0	2	52.5%	48%	57%	48%	57%	57%
4095.0-4100.0	1	100.0%	100%	100%	100%	100%	100%
4155.0-4160.0	1	72.0%	72%	72%	72%	72%	72%
4440.0-4445.0	1	19.0%	19%	19%	19%	19%	19%
4545.0-4550.0	1	52.0%	52%	52%	52%	52%	52%
4560.0-4565.0	2	62.5%	59%	66%	59%	66%	66%
4785.0-4790.0	1	62.0%	62%	62%	62%	62%	62%
4885.0-4890.0	1	16.0%	16%	16%	16%	16%	16%
5000.0-5005.0	11	56.5%	24%	83%	36%	64%	76%
5005.0-5010.0	1	38.0%	38%	38%	38%	38%	38%
5010.0-5015.0	2	70.0%	69%	71%	69%	71%	71%
5035.0-5040.0	1	36.0%	36%	36%	36%	36%	36%
5140.0-5145.0	1	17.0%	17%	17%	17%	17%	17%
5220.0-5225.0	1	38.0%	38%	38%	38%	38%	38%
5250.0-5255.0	1	66.0%	66%	66%	66%	66%	66%
5420.0-5425.0	1	88.0%	88%	88%	88%	88%	88%
5435.0-5440.0	1	79.0%	79%	79%	79%	79%	79%
5450.0-5455.0	2	58.5%	45%	72%	45%	72%	72%
5455.0-5460.0	1	69.0%	69%	69%	69%	69%	69%
5485.0-5490.0	1	69.0%	69%	69%	69%	69%	69%
5500.0-5505.0	1	41.0%	41%	41%	41%	41%	41%
5555.0-5560.0	3	44.0%	28%	57%	28%	47%	57%
5565.0-5570.0	1	72.0%	72%	72%	72%	72%	72%
5600.0-5605.0	1	71.0%	71%	71%	71%	71%	71%
5685.0-5690.0	1	62.0%	62%	62%	62%	62%	62%
5850.0-5855.0	1	69.0%	69%	69%	69%	69%	69%
